Short name	Full name	Telegram link	Members	Growth (last 24 hours)
RFR	Refereum	https://t.me/refereumtalk	84513	9513
CRNC	Current	https://t.me/CurrentCRNC	38113	4761
NCASH	Nucleus Vision	https://t.me/NucleusVision	77925	4132
DOCK	Dock.io	https://t.me/dockio	22362	3821
MED	Medicalchain	https://t.me/Medicalchain	49410	3068
PKI	REMME	https://t.me/remme	22778	1952
GOT	GoNetwork	https://t.me/joinchat/Geu7vA2LFdDv5RqxFYqCtw	60863	1652
COIN	Coinvest	https://t.me/CoinvestHQ/	12544	1427
DIW	DIWtoken	https://t.me/diwtoken	4511	1367
WPR	WePower	https://t.me/WePowerNetwork	50800	1367
STQ	Storiqa	https://t.me/storiqa_en	25147	1340
INSTAR	Insights Network	https://t.me/InsightsNetwork	17720	1285
CS	Credits	https://t.me/creditscom	15182	1202
ABT	ArcBlock	https://t.me/ArcBlock	53766	1142
SHIP	Shipchain	https://t.me/shipchain	38826	1073
DFINITY	DFinity	http://t.me/DFinity	8982	1066
SPN	Sapien Network	https://t.me/SapienNetwork	15788	977
THRIVE	Thrive	https://t.me/thriveico	7938	879
NKMS	NuCypher	https://t.me/joinchat/F4m-Dw7Rmd7OWd_a7CMLNQ	11727	668
ING	iungo	https://t.me/IUNGO	10564	628
OCOIN	Ocoin (Odyssey Protocol)	https://t.me/OdysseyOfficial	29665	481
WAN	Wanchain	https://t.me/WanchainANN	47296	472
XCM	CoinMetro	https://t.me/coinmetro	11404	459
POLY	Polymath	https://t.me/joinchat/GmbozxFfmqF4UkueyZVoig	50483	430
BNK	Bankera	https://t.me/bankera	12813	380
BEE	The Bee Token	https://t.me/beetoken	50548	380
TRAC	Origin Trail	https://t.me/origintrail	8687	362
MTN	Metronome	https://t.me/metronometoken	11103	339
LIF	Winding Tree	https://t.me/windingtree	5829	308
ZCHN	0chain	https://t.me/Ochain	5893	296
COFI	CoinFI	https://t.me/coinfi	26980	280
BERRY	Rentberry	https://t.me/joinchat/E6YjkQ2yQwBk9WaP0q-zMQ	9326	272
MAN	Matrix	https://t.me/matrixainetwork	16138	269
XRP	Ripple	http://t.me/Ripple	52100	266
EOS	EOSProject	http://t.me/EOSProject	29038	261
SRNT	Serenity	https://t.me/SerenityFinancial	2292	253
VIEW	Viewly	https://t.me/viewly	2089	228
THETA	Theta	https://t.me/joinchat/Gt6mbxJb-2XukwGA_atLjg	9683	209
OPEN	Open Platform	https://t.me/joinchat/FDNbh0M079pQr8E2tuRq3w	8876	200
HERO	HERO Token	https://t.me/herotokensale	4869	196
PXT	PARETO	https://t.me/joinchat/C-OehkNNcmI4AeOLmw7pfQ	8513	182
AMLT	AMLT	https://t.me/AMLT_Coinfirm	5639	176
SMT	Socialmedia.market	https://t.me/joinchat/B3UENkIW3R9A6v_4KnpOZQ	3976	161
ÐTH	Dether	https://t.me/Dether_io	8067	130
ETN	Electroneum	https://t.me/joinchat/DxoSakHOdk5mqsE-LelfVg	43882	130
NAS	Nebulas	https://t.me/nebulasio	9040	123
NPX	NaPoleonX	https://t.me/napoleonx_ICO	6279	122
ONT	Ontology	https://t.me/OntologyNetwork	17767	120
XCT	COTI	https://t.me/COTInetwork	4056	111
HASHGRAPH	Hashgraph	https://t.me/hashgraph	15409	110
STX	Stx_Coin	http://t.me/Stx_Coin	3280	110
FARMA	FarmaTrust	https://t.me/farmatrust	5146	106
BBI	BelugaPay	https://t.me/belugapay	12675	106
MEDI	MediChain	https://t.me/medichainonline_group	3514	100
OMG	OmiseGO	http://t.me/OmiseGO	10683	100
MOSS	Mossland	https://t.me/mossland	815	99
